dest_id,state,destination,county,mie,seasonal,n_seasons,lodging_min,lodging_max,daily_min,daily_max
325,RI,Providence / Bristol,Providence / Bristol,80,False,1,154,154,234,234
326,SC,Charleston,Charleston / Berkeley / Dorchester,92,True,4,218,288,310,380
327,SC,Columbia,Richland / Lexington,74,False,1,115,115,189,189
329,SC,Hilton Head,Beaufort,80,True,5,118,215,198,295
330,SC,Myrtle Beach,Horry,74,True,4,110,182,184,256
332,SD,Hot Springs,Fall River / Custer,74,True,2,110,161,184,235
333,SD,Rapid City,Pennington,74,True,3,110,158,184,232
334,SD,Deadwood / Spearfish ,Lawrence,80,True,3,110,140,190,220
335,TN,Brentwood / Franklin,Williamson,86,False,1,130,130,216,216
336,TN,Chattanooga ,Hamilton,74,False,1,117,117,191,191
338,TN,Knoxville,Knox,74,False,1,119,119,193,193
339,TN,Memphis,Shelby,74,False,1,129,129,203,203
340,TN,Nashville,Davidson,86,True,3,217,248,303,334
342,TX,Arlington / Fort Worth / Grapevine,Tarrant County / City of Grapevine,80,False,1,181,181,261,261
343,TX,Austin,Travis,80,True,3,173,187,253,267
346,TX,Dallas,Dallas ,80,True,3,170,191,250,271
348,TX,Galveston,Galveston,74,True,3,111,146,185,220
350,TX,Houston,Montgomery / Fort Bend / Harris,80,False,1,128,128,208,208
354,TX,Plano,Collin,80,False,1,123,123,203,203
356,TX,San Antonio,Bexar,74,True,3,137,161,211,235
357,TX,South Padre Island,Cameron,74,True,3,118,140,192,214
360,UT,Park City,Summit,92,True,3,221,483,313,575
361,UT,Provo,Utah,74,False,1,117,117,191,191
362,UT,Salt Lake City,Salt Lake / Tooele,80,False,1,142,142,222,222
363,VA,Charlottesville,City of Charlottesville / Albemarle,80,False,1,136,136,216,216
365,VA,Lynchburg,Campbell / Lynchburg City,68,True,3,110,115,178,183
368,VA,Richmond,City of Richmond,80,False,1,157,157,237,237
369,VA,Roanoke,City limits of Roanoke,74,False,1,119,119,193,193
371,VA,Virginia Beach,City of Virginia Beach,74,True,3,124,210,198,284
372,VA,Wallops Island,Accomack,68,True,3,131,248,199,316
374,VA,Williamsburg / York,James City / York Counties / City of Williamsburg,80,True,4,110,134,190,214
377,VT,Burlington,Chittenden,86,True,3,128,202,214,288
378,VT,Manchester,Bennington,86,True,3,168,220,254,306
379,VT,Montpelier,Washington,74,True,3,167,227,241,301
380,VT,Stowe ,Lamoille,86,True,3,148,185,234,271
381,VT,White River Junction,Windsor,86,False,1,144,144,230,230
384,WA,Everett / Lynnwood,Snohomish,86,True,3,113,140,199,226
385,WA,Ocean Shores,Grays Harbor,86,True,3,110,132,196,218
386,WA,Olympia / Tumwater,Thurston,80,True,4,128,175,208,255
387,WA,Port Angeles / Port Townsend,Clallam / Jefferson,92,True,3,137,235,229,327
389,WA,Seattle,King,92,True,2,188,248,280,340
390,WA,Spokane,Spokane,86,False,1,126,126,212,212
391,WA,Tacoma,Pierce,86,False,1,136,136,222,222
392,WA,Vancouver,Clark / Cowlitz / Skamania,86,False,1,155,155,241,241
396,WI,Madison,Dane,80,True,3,110,138,190,218
397,WI,Milwaukee,Milwaukee,80,False,1,140,140,220,220
400,WI,Sturgeon Bay,Door,80,True,3,110,133,190,213
403,WV,Charleston,Kanawha,68,False,1,115,115,183,183
406,WV,Charles Town,Jefferson,68,False,1,122,122,190,190
408,WY,Cody,Park,74,True,2,127,190,201,264
409,WY,Jackson / Pinedale,Teton / Sublette,92,True,2,212,420,304,512
413,GA,Augusta,Richmond,74,True,3,110,125,184,199
422,IL,Bolingbrook / Romeoville / Lemont,Will,74,False,1,114,114,188,188
423,NM,Taos,Taos,74,False,1,128,128,202,202
426,MT,Helena,Lewis and Clark,74,False,1,132,132,206,206
427,CO,Douglas ,Douglas,80,True,3,111,142,191,222
428,VA,Loudoun,Loudoun,80,False,1,115,115,195,195
435,PA,Montgomery,Montgomery,80,False,1,126,126,206,206
436,KY,Kenton,Kenton,86,False,1,163,163,249,249
447,MS,Southaven,Desoto,68,False,1,126,126,194,194
459,VA,Blacksburg,Montgomery,68,False,1,122,122,190,190
460,AL,Mobile,Mobile,74,False,1,114,114,188,188
461,CA,Eureka / Arcata / McKinleyville,Humboldt,86,True,3,125,172,211,258
462,IL,East St. Louis / O'Fallon / Fairview Heights,St. Clair,86,False,1,150,150,236,236
464,NC,Fayetteville,Cumberland,68,False,1,124,124,192,192
471,TX,Midland / Odessa,Midland / Andrews / Ector / Martin,74,True,3,118,132,192,206
473,MD,Centreville,Queen Anne,74,True,3,121,154,195,228
474,UT,Moab,Grand,86,True,5,110,221,196,307
475,WA,Richland / Pasco,Benton / Franklin,86,False,1,130,130,216,216
476,IA,Dallas,Dallas,80,False,1,115,115,195,195
477,MS,Oxford,Lafayette,68,False,1,127,127,195,195
478,LA,Alexandria / Leesville / Natchitoches,Allen / Jefferson Davis / Natchitoches / Rapides / Vernon Parishes,68,False,1,112,112,180,180
479,NM,Carlsbad,Eddy,74,False,1,155,155,229,229
481,CA,Bakersfield / Ridgecrest,Kern,74,False,1,132,132,206,206
486,TX,Big Spring,Howard,68,False,1,114,114,182,182
489,PA,Hershey,Hershey,80,True,3,145,196,225,276
492,TX,Pecos,Reeves,74,False,1,121,121,195,195
493,CO,Grand Lake,Grand,86,True,4,122,173,208,259
494,GA,Marietta,Cobb,74,False,1,126,126,200,200
495,ID,Boise,Ada,86,True,3,167,191,253,277
496,MT,Kalispell/Whitefish,Flathead,80,True,2,124,232,204,312
