dest_id,state,destination,county,season_begin,season_end,lodging,mie,daily_cap,seasonal
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,September 1,September 30,145,80,225,True
473,MD,Centreville,Queen Anne,October 1,October 31,154,74,228,True
473,MD,Centreville,Queen Anne,November 1,April 30,121,74,195,True
473,MD,Centreville,Queen Anne,May 1,September 30,154,74,228,True
165,MD,Columbia,Howard,,,113,86,199,False
170,MD,Ocean City,Worcester,October 1,May 31,115,80,195,True
170,MD,Ocean City,Worcester,June 1,August 31,295,80,375,True
170,MD,Ocean City,Worcester,September 1,September 30,115,80,195,True
171,ME,Bar Harbor / Rockport,Hancock / Knox,October 1,October 31,264,92,356,True
171,ME,Bar Harbor / Rockport,Hancock / Knox,November 1,April 30,128,92,220,True
171,ME,Bar Harbor / Rockport,Hancock / Knox,May 1,June 30,209,92,301,True
171,ME,Bar Harbor / Rockport,Hancock / Knox,July 1,August 31,304,92,396,True
171,ME,Bar Harbor / Rockport,Hancock / Knox,September 1,September 30,264,92,356,True
172,ME,Kennebunk / Kittery / Sanford,York ,October 1,October 31,153,86,239,True
172,ME,Kennebunk / Kittery / Sanford,York ,November 1,June 30,119,86,205,True
172,ME,Kennebunk / Kittery / Sanford,York ,July 1,August 31,201,86,287,True
172,ME,Kennebunk / Kittery / Sanford,York ,September 1,September 30,153,86,239,True
173,ME,Portland,Cumberland / Sagadahoc,October 1,October 31,199,80,279,True
173,ME,Portland,Cumberland / Sagadahoc,November 1,May 31,114,80,194,True
173,ME,Portland,Cumberland / Sagadahoc,June 1,August 31,211,80,291,True
173,ME,Portland,Cumberland / Sagadahoc,September 1,September 30,199,80,279,True
175,MI,Ann Arbor,Washtenaw,October 1,March 31,125,80,205,True
175,MI,Ann Arbor,Washtenaw,April 1,August 31,146,80,226,True
175,MI,Ann Arbor,Washtenaw,September 1,September 30,125,80,205,True
178,MI,Detroit,Wayne,,,152,74,226,False
183,MI,Grand Rapids,Kent,,,119,80,199,False
184,MI,Holland,Ottawa,October 1,April 30,116,74,190,True
184,MI,Holland,Ottawa,May 1,August 31,157,74,231,True
184,MI,Holland,Ottawa,September 1,September 30,116,74,190,True
187,MI,Mackinac Island,Mackinac,October 1,June 30,120,86,206,True
187,MI,Mackinac Island,Mackinac,July 1,August 31,195,86,281,True
187,MI,Mackinac Island,Mackinac,September 1,September 30,120,86,206,True
188,MI,Midland,Midland,,,120,74,194,False
190,MI,Muskegon,Muskegon,October 1,May 31,110,68,178,True
190,MI,Muskegon,Muskegon,June 1,August 31,149,68,217,True
190,MI,Muskegon,Muskegon,September 1,September 30,110,68,178,True
192,MI,Petoskey,Emmet,October 1,October 31,171,86,257,True
192,MI,Petoskey,Emmet,November 1,May 31,116,86,202,True
192,MI,Petoskey,Emmet,June 1,August 31,220,86,306,True
192,MI,Petoskey,Emmet,September 1,September 30,171,86,257,True
193,MI,Pontiac / Auburn Hills ,Oakland,,,116,80,196,False
195,MI,South Haven,Van Buren,October 1,May 31,110,68,178,True
195,MI,South Haven,Van Buren,June 1,August 31,142,68,210,True
195,MI,South Haven,Van Buren,September 1,September 30,110,68,178,True
196,MI,Traverse City,Grand Traverse,October 1,June 30,134,80,214,True
196,MI,Traverse City,Grand Traverse,July 1,August 31,235,80,315,True
196,MI,Traverse City,Grand Traverse,September 1,September 30,134,80,214,True
199,MN,Duluth,St. Louis,October 1,October 31,220,86,306,True
199,MN,Duluth,St. Louis,November 1,May 31,159,86,245,True
199,MN,Duluth,St. Louis,June 1,September 30,220,86,306,True
201,MN,Minneapolis / St. Paul,Hennepin / Ramsey,,,148,92,240,False
202,MN,Rochester,Olmsted,,,127,80,207,False
204,MO,Kansas City,Jackson / Clay / Cass / Platte,,,135,80,215,False
207,MO,St. Louis,St. Louis / St. Louis City / St. Charles,,,150,86,236,False
477,MS,Oxford,Lafayette,,,127,68,195,False
447,MS,Southaven,Desoto,,,126,68,194,False
211,MS,Starkville ,Oktibbeha,,,125,68,193,False
215,MT,Big Sky / West Yellowstone/Gardiner,Gallatin/Park,October 1,May 31,176,80,256,True
215,MT,Big Sky / West Yellowstone/Gardiner,Gallatin/Park,June 1,September 30,310,80,390,True
426,MT,Helena,Lewis and Clark,,,132,74,206,False
496,MT,Kalispell/Whitefish,Flathead,October 1,June 30,124,80,204,True
496,MT,Kalispell/Whitefish,Flathead,July 1,September 30,232,80,312,True
213,MT,Missoula,Missoula,October 1,May 31,130,74,204,True
213,MT,Missoula,Missoula,June 1,September 30,195,74,269,True
216,NC,Asheville ,Buncombe,October 1,December 31,141,80,221,True
216,NC,Asheville ,Buncombe,January 1,September 30,120,80,200,True
217,NC,Atlantic Beach / Morehead City,Carteret,October 1,April 30,123,74,197,True
217,NC,Atlantic Beach / Morehead City,Carteret,May 1,August 31,178,74,252,True
217,NC,Atlantic Beach / Morehead City,Carteret,September 1,September 30,123,74,197,True
218,NC,Chapel Hill,Orange,,,140,80,220,False
219,NC,Charlotte,Mecklenburg,,,131,80,211,False
